n_mutations,group_1,group_2,n_pairs,n_pairs_1_x,n_pairs_x_2,n_pairs_x_x,RR,type,age_decade,i_period
0,Completed primary series + booster,No valid vaccination record,2586,11673,13892,62454,0.9959591349147661,Only pairs in different postal_codes,40-49y,3
0,No valid vaccination record,Completed primary series,8232,13892,36889,62454,1.0032379767453115,Only pairs in different postal_codes,40-49y,3
0,No valid vaccination record,Completed primary series + booster,2586,13892,11673,62454,0.9959591349147658,Only pairs in different postal_codes,40-49y,3
0,No valid vaccination record,No valid vaccination record,3074,13892,13892,62454,0.9947972425843759,Only pairs in different postal_codes,40-49y,3
0,Completed primary series,Completed primary series,962,3244,3244,10824,0.9894666583551385,All pairs,40-49y,4
0,Completed primary series,Completed primary series + booster,1521,3244,5265,10824,0.9639128647759967,All pairs,40-49y,4
0,Completed primary series,No valid vaccination record,761,3244,2315,10824,1.09683322991374,All pairs,40-49y,4
0,Completed primary series + booster,Completed primary series,1521,5265,3244,10824,0.9639128647759966,All pairs,40-49y,4
0,Completed primary series + booster,Completed primary series + booster,2864,5265,5265,10824,1.1183147322938396,All pairs,40-49y,4
0,Completed primary series + booster,No valid vaccination record,880,5265,2315,10824,0.7814857888292014,All pairs,40-49y,4
0,No valid vaccination record,Completed primary series,761,2315,3244,10824,1.09683322991374,All pairs,40-49y,4
0,No valid vaccination record,Completed primary series + booster,880,2315,5265,10824,0.7814857888292014,All pairs,40-49y,4
0,No valid vaccination record,No valid vaccination record,674,2315,2315,10824,1.3612744380017634,All pairs,40-49y,4
0,Completed primary series,Completed primary series,714,2716,2716,9304,0.9005511440414194,Only pairs in different postal_codes,40-49y,4
0,Completed primary series,Completed primary series + booster,1426,2716,4755,9304,1.0273275631108407,Only pairs in different postal_codes,40-49y,4
0,Completed primary series,No valid vaccination record,576,2716,1833,9304,1.076465101031892,Only pairs in different postal_codes,40-49y,4
0,Completed primary series + booster,Completed primary series,1426,4755,2716,9304,1.0273275631108407,Only pairs in different postal_codes,40-49y,4
0,Completed primary series + booster,Completed primary series + booster,2552,4755,4755,9304,1.0501451457926294,Only pairs in different postal_codes,40-49y,4
0,Completed primary series + booster,No valid vaccination record,777,4755,1833,9304,0.8294261704020748,Only pairs in different postal_codes,40-49y,4
0,No valid vaccination record,Completed primary series,576,1833,2716,9304,1.076465101031892,Only pairs in different postal_codes,40-49y,4
0,No valid vaccination record,Completed primary series + booster,777,1833,4755,9304,0.8294261704020748,Only pairs in different postal_codes,40-49y,4
0,No valid vaccination record,No valid vaccination record,480,1833,1833,9304,1.32918676777715,Only pairs in different postal_codes,40-49y,4
0,Completed primary series,Completed primary series,6,90,90,2862,2.12,All pairs,50-59y,1
0,Completed primary series,No valid vaccination record,84,90,2772,2862,0.9636363636363637,All pairs,50-59y,1
0,No valid vaccination record,Completed primary series,84,2772,90,2862,0.9636363636363637,All pairs,50-59y,1
0,No valid vaccination record,No valid vaccination record,2688,2772,2772,2862,1.0011806375442738,All pairs,50-59y,1
0,Completed primary series,Completed primary series,6,82,82,2606,2.325401546698394,Only pairs in different postal_codes,50-59y,1
0,Completed primary series,No valid vaccination record,76,82,2524,2606,0.9569402033164548,Only pairs in different postal_codes,50-59y,1
0,No valid vaccination record,Completed primary series,76,2524,82,2606,0.9569402033164548,Only pairs in different postal_codes,50-59y,1
0,No valid vaccination record,No valid vaccination record,2448,2524,2524,2606,1.0013989315879757,Only pairs in different postal_codes,50-59y,1
0,Completed primary series,Completed primary series,298,687,687,1620,1.0228637897828037,All pairs,50-59y,2
