region_first,region_last,n_clusters,n_tot_clusters,i_wave,prop,lower_prop,upper_prop,lower_prop_bootstrap,upper_prop_bootstrap
Peninsula/Coastal,Northwest,11,39,2,0.28205128205128205,0.1554994282717443,0.45104038894528004,0.15384615384615385,0.4358974358974359
Peninsula/Coastal,South Central,13,17,2,0.7647058823529411,0.497616273716336,0.9217687809279128,0.5294117647058824,0.9411764705882353
Peninsula/Coastal,South Puget Sound,35,80,2,0.4375,0.32834391403235286,0.5527049144207138,0.325,0.55
Peninsula/Coastal,Southeast,2,2,2,1,0.19786745576231118,1,1,1
South Central,North Central,68,89,2,0.7640449438202247,0.6600120853317759,0.8448753792288297,0.6741573033707865,0.8539325842696629
South Central,North Puget Sound,229,445,2,0.5146067415730337,0.4671280496538191,0.5618293828068461,0.46741573033707867,0.5617977528089888
South Central,Northeast,50,81,2,0.6172839506172839,0.5022253014949449,0.7211173687871975,0.5061728395061729,0.7160493827160493
South Central,Northwest,19,36,2,0.5277777777777778,0.35734712791371753,0.6924180951726503,0.3611111111111111,0.6944444444444444
South Central,Peninsula/Coastal,4,17,2,0.23529411764705882,0.07823121907208701,0.5023837262836639,0.058823529411764705,0.47058823529411764
South Central,South Puget Sound,35,59,2,0.5932203389830508,0.45762204977004034,0.7166757161960244,0.4745762711864407,0.711864406779661
South Central,Southeast,28,61,2,0.45901639344262296,0.33258809123834526,0.5906094538946193,0.32786885245901637,0.5901639344262295
South Central,Southwest,2,7,2,0.2857142857142857,0.05112430604577598,0.6974399701860723,0,0.5714285714285714
South Puget Sound,North Central,16,26,2,0.6153846153846154,0.40729584342164477,0.7909234267844908,0.4230769230769231,0.8076923076923077
South Puget Sound,North Puget Sound,332,618,2,0.5372168284789643,0.4969878253678631,0.576976579664735,0.49838187702265374,0.5760517799352751
South Puget Sound,Northeast,43,68,2,0.6323529411764706,0.5061687724713717,0.7435010687559387,0.5147058823529411,0.75
South Puget Sound,Northwest,36,60,2,0.6,0.4654538718918884,0.7217283176848324,0.4666666666666667,0.7166666666666667
South Puget Sound,Peninsula/Coastal,45,80,2,0.5625,0.44729508557928627,0.6716560859676473,0.45,0.675
South Puget Sound,South Central,24,59,2,0.4067796610169492,0.2833242838039755,0.5423779502299597,0.288135593220339,0.5423728813559322
South Puget Sound,Southeast,6,12,2,0.5,0.2537815976337061,0.7462184023662939,0.25,0.75
South Puget Sound,Southwest,21,37,2,0.5675675675675675,0.3964395760636382,0.7249614294468979,0.40540540540540543,0.7297297297297297
Southeast,North Central,18,35,2,0.5142857142857142,0.34275735921480777,0.6827568237506809,0.34285714285714286,0.6857142857142857
Southeast,North Puget Sound,11,26,2,0.4230769230769231,0.23974371300995548,0.628084926400224,0.23076923076923078,0.6153846153846154
Southeast,Northeast,23,52,2,0.4423076923076923,0.3072923770975504,0.5858060126305514,0.3076923076923077,0.5769230769230769
Southeast,Northwest,10,10,2,1,0.6554627816930775,1,1,1
Southeast,South Central,33,61,2,0.5409836065573771,0.4093905461053808,0.6674119087616548,0.4098360655737705,0.6721311475409836
Southeast,South Puget Sound,6,12,2,0.5,0.2537815976337061,0.7462184023662939,0.25,0.75
Southwest,North Puget Sound,6,44,2,0.13636363636363635,0.05667815849856547,0.2804623828105173,0.045454545454545456,0.25
Southwest,Northwest,15,23,2,0.6521739130434783,0.42821154895444524,0.8281041563923607,0.43478260869565216,0.8260869565217391
Southwest,Peninsula/Coastal,4,4,2,1,0.3957730344827787,1,1,1
Southwest,South Central,5,7,2,0.7142857142857143,0.30256002981392766,0.948875693954224,0.42857142857142855,1
Southwest,South Puget Sound,16,37,2,0.43243243243243246,0.27503857055310216,0.6035604239363618,0.2702702702702703,0.5945945945945946
North Central,North Puget Sound,51,105,3,0.4857142857142857,0.387756837405158,0.5847294738897256,0.3904761904761905,0.580952380952381
North Central,Northeast,11,13,3,0.8461538461538461,0.536624335030746,0.9728929282992842,0.6153846153846154,1
North Central,Northwest,6,24,3,0.25,0.10600544394550877,0.4705234033809694,0.08333333333333333,0.4166666666666667
North Central,Peninsula/Coastal,4,6,3,0.6666666666666666,0.24107821098195234,0.9400102953115789,0.3333333333333333,1
North Central,South Central,32,48,3,0.6666666666666666,0.5148643023119619,0.7919205975755393,0.5208333333333334,0.7916666666666666
North Central,South Puget Sound,13,34,3,0.38235294117647056,0.22687224834274514,0.5637525821639128,0.23529411764705882,0.5588235294117647
North Central,Southeast,4,9,3,0.4444444444444444,0.1534305575085795,0.7734707701106025,0.1111111111111111,0.7777777777777778
North Central,Southwest,2,6,3,0.3333333333333333,0.059989704688421214,0.7589217890180476,0,0.6666666666666666
North Puget Sound,North Central,54,105,3,0.5142857142857142,0.4152705261102743,0.6122431625948419,0.41904761904761906,0.6095238095238096
North Puget Sound,Northeast,56,91,3,0.6153846153846154,0.5071706485438319,0.7137487616805437,0.5164835164835165,0.7142857142857143
North Puget Sound,Northwest,82,201,3,0.4079601990049751,0.3399853565996924,0.47951230920629245,0.34328358208955223,0.47761194029850745
North Puget Sound,Peninsula/Coastal,66,166,3,0.39759036144578314,0.3234182310207924,0.47658028091704596,0.3253012048192771,0.46987951807228917
North Puget Sound,South Central,260,418,3,0.6220095693779905,0.5734002052469449,0.6683398909562724,0.5741626794258373,0.6674641148325359
North Puget Sound,South Puget Sound,277,588,3,0.4710884353741497,0.4302198257172254,0.5123402413068618,0.4302721088435374,0.5119047619047619
