n_clusters,n_singletons,n_non_singletons,n_seq_non_singletons,i_subsample_step,curr_subsample_step,n_new_clusters,n_new_samples,n_new_clusters_per_sample,n_new_seq_non_singleton,n_new_seq_non_singleton_per_sample,n_new_clusters_non_singleton,n_new_clusters_non_singleton_per_sample,i_subsample
6441,6066,375,934,16,7000,866,1000,0.866,220,0.22,86,0.086,3
7303,6840,463,1160,17,8000,862,1000,0.862,226,0.226,88,0.088,3
8146,7597,549,1403,18,9000,843,1000,0.843,243,0.243,86,0.086,3
8981,8319,662,1681,19,10000,835,1000,0.835,278,0.278,113,0.113,3
9818,9059,759,1941,20,11000,837,1000,0.837,260,0.26,97,0.097,3
10627,9760,867,2240,21,12000,809,1000,0.809,299,0.299,108,0.108,3
11427,10453,974,2547,22,13000,800,1000,0.8,307,0.307,107,0.107,3
12230,11154,1076,2846,23,14000,803,1000,0.803,299,0.299,102,0.102,3
13010,11809,1201,3191,24,15000,780,1000,0.78,345,0.345,125,0.125,3
13800,12474,1326,3526,25,16000,790,1000,0.79,335,0.335,125,0.125,3
14569,13122,1447,3878,26,17000,769,1000,0.769,352,0.352,121,0.121,3
15314,13737,1577,4263,27,18000,745,1000,0.745,385,0.385,130,0.13,3
16073,14357,1716,4643,28,19000,759,1000,0.759,380,0.38,139,0.139,3
16820,14974,1846,5026,29,20000,747,1000,0.747,383,0.383,130,0.13,3
17575,15590,1985,5410,30,21000,755,1000,0.755,384,0.384,139,0.139,3
18328,16218,2110,5782,31,22000,753,1000,0.753,372,0.372,125,0.125,3
19085,16836,2249,6164,32,23000,757,1000,0.757,382,0.382,139,0.139,3
19820,17433,2387,6567,33,24000,735,1000,0.735,403,0.403,138,0.138,3
20529,17991,2538,7009,34,25000,709,1000,0.709,442,0.442,151,0.151,3
21236,18557,2679,7443,35,26000,707,1000,0.707,434,0.434,141,0.141,3
21961,19155,2806,7845,36,27000,725,1000,0.725,402,0.402,127,0.127,3
22668,19725,2943,8275,37,28000,707,1000,0.707,430,0.43,137,0.137,3
23372,20299,3073,8701,38,29000,704,1000,0.704,426,0.426,130,0.13,3
24069,20849,3220,9151,39,30000,697,1000,0.697,450,0.45,147,0.147,3
24781,21425,3356,9575,40,31000,712,1000,0.712,424,0.424,136,0.136,3
25490,22003,3487,9997,41,32000,709,1000,0.709,422,0.422,131,0.131,3
26197,22566,3631,10434,42,33000,707,1000,0.707,437,0.437,144,0.144,3
26872,23076,3796,10924,43,34000,675,1000,0.675,490,0.49,165,0.165,3
27541,23597,3944,11403,44,35000,669,1000,0.669,479,0.479,148,0.148,3
28228,24141,4087,11859,45,36000,687,1000,0.687,456,0.456,143,0.143,3
28913,24661,4252,12339,46,37000,685,1000,0.685,480,0.48,165,0.165,3
29562,25162,4400,12838,47,38000,649,1000,0.649,499,0.499,148,0.148,3
30234,25671,4563,13329,48,39000,672,1000,0.672,491,0.491,163,0.163,3
30855,26123,4732,13877,49,40000,621,1000,0.621,548,0.548,169,0.169,3
31484,26597,4887,14403,50,41000,629,1000,0.629,526,0.526,155,0.155,3
32122,27074,5048,14926,51,42000,638,1000,0.638,523,0.523,161,0.161,3
32758,27561,5197,15439,52,43000,636,1000,0.636,513,0.513,149,0.149,3
33376,27998,5378,16002,53,44000,618,1000,0.618,563,0.563,181,0.181,3
34004,28472,5532,16528,54,45000,628,1000,0.628,526,0.526,154,0.154,3
34644,28952,5692,17048,55,46000,640,1000,0.64,520,0.52,160,0.16,3
35257,29393,5864,17607,56,47000,613,1000,0.613,559,0.559,172,0.172,3
35876,29851,6025,18149,57,48000,619,1000,0.619,542,0.542,161,0.161,3
36499,30327,6172,18673,58,49000,623,1000,0.623,524,0.524,147,0.147,3
37128,30790,6338,19210,59,50000,629,1000,0.629,537,0.537,166,0.166,3
37729,31238,6491,19762,60,51000,601,1000,0.601,552,0.552,153,0.153,3
38298,31634,6664,20366,61,52000,569,1000,0.569,604,0.604,173,0.173,3
38901,32077,6824,20923,62,53000,603,1000,0.603,557,0.557,160,0.16,3
39517,32542,6975,21458,63,54000,616,1000,0.616,535,0.535,151,0.151,3
40130,32995,7135,22005,64,55000,613,1000,0.613,547,0.547,160,0.16,3
40737,33437,7300,22563,65,56000,607,1000,0.607,558,0.558,165,0.165,3
41306,33841,7465,23159,66,57000,569,1000,0.569,596,0.596,165,0.165,3
41896,34264,7632,23736,67,58000,590,1000,0.59,577,0.577,167,0.167,3
42501,34701,7800,24299,68,59000,605,1000,0.605,563,0.563,168,0.168,3
43082,35118,7964,24882,69,60000,581,1000,0.581,583,0.583,164,0.164,3
43673,35541,8132,25459,70,61000,591,1000,0.591,577,0.577,168,0.168,3
44289,35988,8301,26012,71,62000,616,1000,0.616,553,0.553,169,0.169,3
44906,36452,8454,26548,72,63000,617,1000,0.617,536,0.536,153,0.153,3
45466,36832,8634,27168,73,64000,560,1000,0.56,620,0.62,180,0.18,3
46074,37285,8789,27715,74,65000,608,1000,0.608,547,0.547,155,0.155,3
46637,37669,8968,28331,75,66000,563,1000,0.563,616,0.616,179,0.179,3
47219,38090,9129,28910,76,67000,582,1000,0.582,579,0.579,161,0.161,3
47749,38440,9309,29560,77,68000,530,1000,0.53,650,0.65,180,0.18,3
48331,38859,9472,30141,78,69000,582,1000,0.582,581,0.581,163,0.163,3
48901,39261,9640,30739,79,70000,570,1000,0.57,598,0.598,168,0.168,3
49466,39676,9790,31324,80,71000,565,1000,0.565,585,0.585,150,0.15,3
50040,40074,9966,31926,81,72000,574,1000,0.574,602,0.602,176,0.176,3
50587,40432,10155,32568,82,73000,547,1000,0.547,642,0.642,189,0.189,3
51131,40791,10340,33209,83,74000,544,1000,0.544,641,0.641,185,0.185,3
51691,41188,10503,33812,84,75000,560,1000,0.56,603,0.603,163,0.163,3
52245,41574,10671,34426,85,76000,554,1000,0.554,614,0.614,168,0.168,3
52766,41927,10839,35073,86,77000,521,1000,0.521,647,0.647,168,0.168,3
53334,42320,11014,35680,87,78000,568,1000,0.568,607,0.607,175,0.175,3
53868,42676,11192,36324,88,79000,534,1000,0.534,644,0.644,178,0.178,3
54410,43050,11360,36950,89,80000,542,1000,0.542,626,0.626,168,0.168,3
