days,central_mean_max_dist_null,lower_mean_max_dist_null,upper_mean_max_dist_null,central_prop_outside_zip_null,lower_prop_outside_zip_null,upper_prop_outside_zip_null,central_prop_outside_county_null,lower_prop_outside_county_null,upper_prop_outside_county_null
59,176.83785229124703,175.0003070663929,178.6462838054278,0.9827065073825918,0.981223308010459,0.9838888725804317,0.8092285463183349,0.8041132357742725,0.8152158275441084
60,176.94591280095258,175.12768051601955,178.75218904732424,0.9830878130543723,0.9816056864832523,0.9842716052171321,0.8096232681898564,0.8045111306680792,0.8155422133303938
61,177.06286712388706,175.23703635875228,178.88734155694362,0.9835125011743585,0.9820667045275142,0.9847308843811726,0.8101001037564054,0.8048369945667346,0.8160437425551074
62,177.16770054718972,175.3328568704876,178.99537547148446,0.9838623326959847,0.9824490369603733,0.9851136170178731,0.8105323494535662,0.8051971495424909,0.8164009841801603
63,177.33461431824492,175.54195306546978,179.11438632466033,0.9846271510516252,0.9832137018260915,0.9858790822912742,0.8111086770497806,0.8059174594940033,0.817122422178463
64,177.4714759699972,175.68495758314327,179.23895438965445,0.9853154875717017,0.983901900205238,0.9865680010373352,0.8117210484752915,0.8065314473732637,0.8177339057899711
65,177.61754781782574,175.8106463816554,179.40818462167056,0.9860032888242278,0.9845900985843843,0.987256919783396,0.812297422780572,0.8072174662476754,0.8182697682275504
66,177.74991175634582,175.94275889952814,179.55854956460308,0.9866156787762906,0.9852416859625426,0.9878692920021168,0.8128425515686741,0.8076864654256695,0.8186991536524336
67,177.8575562451986,176.01672096134308,179.66744842962203,0.987227533460803,0.9858534295495875,0.9884465761871063,0.8134414670311436,0.8083343883166207,0.8193519252250046
68,177.9306079676267,176.06774111752634,179.7201738905643,0.9874569789674952,0.9860828333947294,0.9886360008808998,0.8137240744779017,0.8085503626136046,0.8196061672114596
69,177.9960949879308,176.17079164622362,179.7659980144328,0.9877629063097514,0.9863887051882518,0.9889421536048806,0.8139058261863954,0.8089119190542045,0.819819121236852
70,178.1204852828427,176.30551239017586,179.84392599469595,0.9883747609942639,0.9870004487752966,0.9895544590528427,0.8144225679540942,0.8094014345568274,0.8203962716354942
71,178.17006843421598,176.33273263565818,179.90721073910765,0.9884512428298279,0.9870769167236773,0.989630997233838,0.8145638344536066,0.8094897396376408,0.8205440366092531
72,178.21149370937118,176.36275848423696,179.9533349916479,0.988604206500956,0.9872298526204384,0.9897840735958285,0.8147801286541401,0.8096665200828177,0.8206883242089137
73,178.270570467401,176.39769479154717,179.98538170062557,0.9889101338432122,0.9875357244139609,0.9900902263198095,0.8150339017909705,0.8098462083955075,0.8209425661953688
74,178.31432706267793,176.45890237076947,180.006957295272,0.9890630975143403,0.9876487580472575,0.9902433026818,0.8151766212386122,0.8100266750585738,0.8210868537950293
75,178.41526971066213,176.60599426155517,180.05561274293007,0.9895219885277247,0.9881075569666884,0.9907025317677716,0.815537142761616,0.8103937277162294,0.8214097622072163
76,178.46726793226173,176.6431229389824,180.0878117000776,0.9896749521988528,0.988260489939832,0.9908556081297621,0.815681338895305,0.8106090411024932,0.8215162392199126
77,178.4956192069642,176.67347480968448,180.10889947809224,0.9897514340344168,0.9883369564264037,0.9909321463107573,0.8157534369621495,0.8107189880709622,0.8215883830197428
78,178.53217436618286,176.7155899642894,180.15160194624482,0.989980879541109,0.9885663558861193,0.9911617608537431,0.8159031783049522,0.8109692726240179,0.8216983374065374
79,178.5720303083266,176.7507640664632,180.20109268306612,0.9902864354135352,0.9888722218324065,0.991467913577724,0.8161912798123017,0.8112574578412375,0.8219525793929926
80,178.60265136040226,176.78994980835822,180.26380960718208,0.9904394049345818,0.9890251548055502,0.9916209899397146,0.816301532872221,0.8113295041455424,0.8220968669926532
81,178.62060278140163,176.8158748725255,180.26772116811867,0.9905158896951052,0.989101621292122,0.9916975281207099,0.8164073974440391,0.8113674048097064,0.8221690107924835
82,178.66065772060855,176.84680387396764,180.29898185698167,0.9905923744556285,0.9891780877786939,0.9917740663017052,0.8164793813196509,0.8114700068822654,0.8222754878051797
83,178.68906015044485,176.86532118902392,180.3294447769274,0.9906688592161519,0.9892545542652658,0.9918506044827002,0.81651048225840706,0.8115421590607069,0.8223098210180455
84,178.73086052867095,176.90245617370516,180.36927201392243,0.9908218287371986,0.9894074872384093,0.9920036808446908,0.8166101961194503,0.8116143112391485,0.8224541086177061
85,178.73910756860505,176.9067767732608,180.39018900452152,0.9908218287371986,0.9894074872384093,0.9920036808446908,0.8166101961194503,0.8116143112391485,0.8225297297916347
86,178.75867603820308,176.9693067904673,180.4287487778667,0.9911270891368285,0.9897133531846967,0.9923098335686719,0.8167902906770053,0.8118307677744729,0.822749638565224
87,178.8154762902385,177.0084054639887,180.46757087511418,0.9913565609694968,0.989942752644412,0.9925386301698627,0.8169799910816823,0.8120472243097974,0.8229317367518488
88,178.83639250177703,177.03145544011613,180.48292544879206,0.9914330515803861,0.9900591667105209,0.9926151766972029,0.8170784129140525,0.8121572771524028,0.8230382137645451
89,178.87327788649065,177.07776780211765,180.51425539268382,0.9916625234130543,0.9902885705556628,0.9928046815076947,0.817171454345757,0.8123737336877274,0.823185978738304
90,178.90815925821164,177.08729049777378,180.54496181968074,0.9917390140239437,0.9903650385040432,0.9928812274491022,0.8172585074716076,0.812445885866169,0.8232924557510002
91,178.9521799262397,177.10853847646976,180.56868877278146,0.9919675642124788,0.9905944423491851,0.9931108652733248,0.8174592036087371,0.8125901850174171,0.8234024101377948
92,178.99022475960257,177.13750047016129,180.58824093939637,0.992120562989384,0.9907473782459464,0.9932639571561399,0.8175311409244822,0.8126623330313509,0.8234710765635267
93,179.00542066448608,177.14207368352152,180.5981572439428,0.9921970623778367,0.9908238461943271,0.9933405030975473,0.8175923625071932,0.8127309151855526,0.823543220363357
94,179.01742785616688,177.18290861713962,180.6297591570916,0.9923500611547418,0.9909366291274171,0.9934935949803623,0.8177364444062467,0.8128752112134201,0.8236496973760532
95,179.02339745540817,177.18629530959828,180.63065443001963,0.9923500611547418,0.9909366291274171,0.9934935949803623,0.8177364444062467,0.8128752112134201,0.8236496973760532
96,179.02807636829172,177.20888015091663,180.64516500757935,0.9924259811797108,0.9910130970757978,0.9935701409217699,0.8178085320648396,0.8129473592273538,0.8237218411758834
97,179.0397647844918,177.2292597532712,180.6633577562902,0.9925024864203198,0.9910895650241782,0.9936466868631774,0.81784452918507,0.8129816503044547,0.8237561743887494
98,179.06016328831493,177.26829969962057,180.68780052566552,0.9926554969015378,0.9912425009209396,0.9937997787459923,0.8179886110841237,0.8130952211149537,0.8239347952012757
99,179.09966896590353,177.3066833542045,180.71939768236524,0.9928850126233647,0.9914719047660814,0.9940294165702148,0.818185095838142,0.8132395171428213,0.8241512266007667
100,179.11147300719472,177.3171938421139,180.74608819350993,0.9929615178639737,0.9915483727144621,0.9941059625116224,0.8182571731064698,0.8132395171428213,0.824189037187731
